"Row.names","Condition","Phenotype","nTVC","nATM","migration.perturbed","orientation.perturbed","division.perturbed","TVC.contiguous","ATM.contiguous"
"Foxf.slide1_image20.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image21.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image22_left.2020_02_06","Foxf","migration/orientation perturbed",4,2,TRUE,TRUE,FALSE,1,1
"Foxf.slide1_image22_right.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image3.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image5.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image6.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image7.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide1_image8.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide1_image9.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image1.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image10.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image11.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image12_left.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image12_right.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image13.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image14_left.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image14_right.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image15.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image16.2020_02_06","Foxf","migration/orientation perturbed",4,2,TRUE,TRUE,FALSE,1,1
"Foxf.slide2_image18.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image19.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image2.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image20.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image21.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image22.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image24.2020_02_06","Foxf","WT",4,2,FALSE,FALSE,FALSE,1,1
"Foxf.slide2_image25_left.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
"Foxf.slide2_image26.2020_02_06","Foxf","orientation perturbed",4,2,FALSE,TRUE,FALSE,1,1
